0	39	put c battery in drill
1	42	hit dragon with sword
2	12	get heart from boat
3	27	push filthy n
4	14	x thing
5	7	read parchment
6	12	get golden chalice
7	12	get nasty knife
8	52	turn dial right 3
9	27	drop spices
10	28	turn ring to third symbol
11	39	put it on henry's tomb
12	21	tie bucket to rope
13	27	press green
14	29	northeast
15	17	touch red
16	14	x feather
17	3	seat
18	25	search oats
19	27	throw plank
20	1	strike match
21	27	drop teapot
22	14	x tree
23	24	ask belboz about figure
24	39	put rods in socket
25	12	get yellow card
26	27	throw bottle at thing
27	12	get hammer
28	27	pull rods
29	15	turn on torch
30	14	x printouts
31	12	get hand
32	35	open tube
33	12	get pots
34	12	get coke and carton
35	39	insert orange card in slot
36	27	slide i
37	27	throw stick at herman
38	5	eat green
39	49	light lantern
40	12	take pig
41	27	drop bread
42	35	open toolshed
43	29	ask wolf to blow turbine
44	17	touch powerup stud
45	14	x gate
46	7	read ruby scratch with glass
47	12	get tablets
48	12	get paint
49	1	izyuk me
50	42	whip smooth lion
51	6	remove goggles
52	37	buy telescope
53	14	x stairs
54	7	read page
55	12	take printer
56	28	turn sphere
57	39	put sheet in tray
58	1	look up partaim in fresto
59	1	exex turtle
60	28	turn valve with crowbar
61	39	put ring, book in sack
62	27	drop gigantic bowl
63	8	give silver coin to oarsman
64	24	ask man about eranti
65	12	get collar
66	12	get card
67	1	inventory
68	14	examine stamps
69	8	give bone to poodle
70	45	wear mask
71	39	put coins in fur sack
72	52	turn handle
73	1	gnoeval
74	19	look at woods
75	27	push right button
76	1	look up croseus in album
77	52	turn bolt with wrench
78	8	give fluff to arthur
79	1	pour liquid on slime
80	24	ask proprietor about amulet
81	29	mouse, south
82	25	search painting
83	24	ask him about librarian
84	27	drop crown
85	12	get parcel from cupboard
86	40	play tape
87	1	stand on charles
88	14	examine tide
89	40	play flute
90	1	write mace on featureless
91	27	drop shiny key
92	3	3
93	14	examine bones
94	27	drop scroll
95	1	krebf shredded scroll
96	27	push ball south
97	14	examine teachers
98	11	show earth crystal to trent
99	14	examine stars
100	51	cut blue tassel
101	11	show can to pet
102	51	cut rope with dagger
103	19	look out window
104	46	fill jug
105	24	ask her about rare books
106	1	mosaic, lagach
107	14	x barkeep
108	27	pull mat
109	1	unlock box with key
110	52	turn it
111	12	take headdress
112	14	examine goblin
113	14	examine statue
114	1	close raincoat
115	1	mural, lagach
116	27	drop pouch
117	14	x grille
118	17	touch generator
119	14	x me
120	27	drop ring
121	11	show violet to trent
122	38	sleaze
123	19	look at furnace
124	12	get candle
125	19	look in cauldron
126	1	gnusto crumpled
127	27	drop lantern
128	5	feed dog sandwich
129	12	get bag
130	45	wear sash
131	7	read diary
132	12	take green bottle
133	12	take packet from pot
134	1	malyon idol
135	27	press white, gray, black, red, black
136	27	drop paper
137	6	remove skis
138	39	put cave cube in bottom right socket
139	12	take ticket 5802
140	39	put flour in pan
141	15	turn on electricity
142	1	point machine at tree
143	27	drop coconut
144	12	get matchbox
145	39	put carton in oven
146	12	get violin, necklace, ruby, zorkmid, stamp, crown and dragon
147	39	put silver sphere in pot
148	14	x dent
149	12	take crowbar
150	12	take dornberries
151	24	ask detective about chelsea
152	14	examine output
153	7	read crumpled
154	1	gnusto cleesh spell
155	12	get drawing paper
156	39	put piece in locket
157	33	climb piano
158	52	turn dial to 1
159	10	stand up
160	52	turn sceptre
161	35	open freezer
162	39	put celery in purse
163	45	wear glasses
164	12	get crown
165	34	eddie, hello
166	39	put ball in machine
167	39	put crystal in space
168	39	insert indigo card in slot
169	12	get skull
170	27	drop kit
171	19	look in pocket
172	27	push coffin w
173	7	read moldy book
174	12	get figure
175	3	1
176	39	put opener in keyhole
177	12	take toner
178	14	x dresser
179	39	put all in pocket
180	17	rub it with crayon
181	28	turn ring to sixth symbol
182	39	put jar in knapsack
183	12	get axe
184	35	open metal cover
185	12	get tube
186	39	put rope in unit
187	6	remove bandage
188	12	get vial, calendar and matchbook
189	14	x apparatus
190	12	get green
191	23	learn lobal
192	11	show note to chuckles
193	5	feed apple to horse
194	27	drop clipper
195	1	enter outflow pipe
196	1	get in bucket
197	14	x dials
198	27	move rail with bar
199	7	read back of yellow paper
200	14	x computers
201	1	gnusto fiznav
202	35	open portrait
203	14	x minerals
204	14	x pan
205	7	read faded scroll
206	34	boo
207	12	take sketch
208	35	open demijohn
209	8	give toy to sydney
210	52	wave sceptre
211	53	get out of bucket
212	12	roustabout, get net
213	14	examine switch a
214	12	get golden cluster
215	41	ask cheryl for hologram
216	28	turn dial right
217	36	hit dragon with sword
218	12	take toupee
219	39	put all in zipper except book
220	12	take envelope
221	5	eat toadstone
222	27	press emergency button
223	9	drive to whitehall
224	29	left
225	11	show keys to michael
226	27	drop fish
227	27	drop lump
