0	3	meef vines
1	37	touch
2	25	get teapot, mat, letter opener, matchbook and paper
3	3	get in golden machine
4	38	open bag
5	3	dig ground
6	51	x column
7	51	examine boats
8	3	draw line from f to p
9	28	look in pit
10	30	give gold key, portrait and bills to demon
11	6	blizzard
12	3	set third wheel to 8
13	25	get figurine
14	27	drop vial
15	3	fie
16	14	tie chain to me
17	43	ask gnome about mother
18	40	read card
19	38	open access panel
20	51	x cat
21	3	dig in sand
22	24	wear cloak
23	49	cut growth with cutter
24	25	get jewellery box
25	51	x magnetite
26	38	open pacquet of paper
27	5	turn on space heater
28	39	buy beer
29	38	open icebox
30	25	get portrait
31	25	get ekmek
32	28	look behind tapestry
33	39	buy electromagnet
34	41	attack dragon with sword
35	50	put flag on bed
36	25	get all from table
37	25	take flat key
38	38	open envelope
39	50	put branch in pit
40	51	x paint splotches
41	50	put probe in slab
42	43	ask charles about chest
43	25	get glasses
44	27	drop clipper
45	51	x k9
46	51	examine light
47	51	examine emerald
48	27	drop nugget
49	50	insert wishbringer in sculpture
50	51	examine tiny metal
51	5	turn on engine
52	25	get gown
53	27	drop portrait and bills
54	27	move block
55	27	drop yo-yo
56	27	press knob
57	5	turn on lamp
58	40	read back of brown paper
59	3	nitfol turtle
60	50	put decaf in pot
61	25	take bean pole
62	25	take briefcase
63	30	give eggs
64	51	examine thumb
65	3	close slot
66	4	cover hole 3
67	38	open satchel
68	50	put ashes on coin
69	27	drop mine
70	50	put gum on stick
71	27	drop upper card
72	52	shoot rope with crossbow
73	25	get pillar
74	51	examine radio
75	13	play syrinx
76	9	repeatedly "turn sceptre" until the coffin opens
77	8	break ampoule
78	30	give gram to queenie
79	50	put match in raincoat
80	30	give manual
81	53	strike rod of infinity
82	26	remove frock
83	25	get embers
84	38	open furnace
85	37	touch calibration
86	25	take envelope
87	3	stand in line
88	30	give mouse to fairy godmother
89	30	give jewels to guard
90	42	turn dial to 3
91	3	taclor me
92	50	put all in toolkit
93	26	remove ring
94	37	squeeze it
95	50	put ladder in well
96	34	sit on carpet
97	3	fiznav boat
98	27	drop bladder
99	50	put canary in case
100	51	examine diagram
101	29	swordfish
102	45	n
103	30	give note to man
104	27	drop peridots
105	50	put flour in pan
106	19	sleep
107	27	press down button
108	27	move desk
109	25	get electromagnet
110	3	raise short pole
111	25	take feather
112	25	get aqua vial
113	27	drop pot
114	17	climb scarf
115	3	clean lump
116	27	push dusty s
117	28	look at ring
118	50	put bracelet in case
119	25	get flag
120	27	drop teapot, rose, candy and gold key
121	25	get horn
122	43	ask him about librarian
123	42	turn ring to fifth symbol
124	30	give pumpkin to fairy godmother
125	25	get chalice
126	25	get chewed scroll
127	25	get laser
128	28	look in bucket
129	25	take lemming
130	42	roll statue se
131	25	get vase
132	14	tie rope to railing
133	50	put sack in tesseract
134	42	turn switch off
135	27	move rail with bar
136	50	put hand in cauldron
137	27	press white
138	27	drop candles
139	43	ask doc about syringe
140	13	play accordion
141	50	insert new battery in laser
142	25	get ring
143	25	get indigo vial
144	26	remove junk with forklift
145	27	push coffin w
146	14	join golden rod to brown rod
147	9	hole, s
148	25	get real mirror
149	27	drop camera
150	28	look at fireplace
151	50	put new battery in torch
152	3	point rod of returning at me
153	25	get lamp, glass and ampoule
154	3	blorple 2
155	25	get worm
156	33	learn blorb
157	45	east
158	25	take decaf from pot
159	25	take cage
160	26	remove shim
161	25	get tobacco,knife,pipe
162	51	examine fusebox
163	28	look at bookshelf
164	51	x clover
165	51	examine plant
166	3	rezrov box
167	27	press north wall
168	31	probe contacts
169	38	open cupboard
170	25	get necklace
171	50	put large key on keyring
172	51	examine ash
173	25	get matchbox
174	28	look in fissure
175	43	ask belboz about cube
176	51	x hand
177	3	click lpr
178	30	give encyclopedia to marion
179	51	examine splinter
180	27	drop umbrella
181	25	get wishbringer
182	25	take butter
183	25	take jug
184	50	put headdress in pot
185	24	wear armour
186	25	get mud
187	27	press yellow button
188	38	marvin, open the hatch
189	25	take flag
190	24	wear fur
191	27	drop kitchen card
192	25	get guano, scroll and amber vial
193	51	x bag
194	25	take burin
195	25	get ticket
196	51	x horse
197	3	oil door
198	25	take a picture
199	2	eat beef
200	51	examine sculpture
201	28	look in closet
202	32	turn dial
203	51	examine it
204	50	put letter opener in keyhole
205	50	put bronze key on keyring
206	51	examine dagger
207	25	get lockpick
208	3	point sacrifice at board
209	38	open royal-blue box
210	8	break frame
211	25	get bucket
212	27	drop firework
213	51	examine cups
214	3	enter square
215	50	put gram in basket
216	50	put red rod in hole
217	25	get blue card
218	25	take emerald
219	27	press emergency button
220	3	frotz lantern
221	3	point at blue carpet
222	27	drop rusty knife
223	11	pray
224	51	examine cylinder
225	50	insert blue card in slot
226	25	take key
227	22	drive to the monument
228	33	learn caskly
229	27	push ball southwest
230	51	examine mouth
231	3	look up squirrel in leshosh
232	25	take flimsy scroll
233	51	x barkeep
234	51	x fountain
235	51	x pack
236	25	get pork
237	43	ask detective about chelsea
238	3	gnusto liskon
239	25	get cutter
240	3	close torch
241	25	get rod
242	30	give $56
243	51	x officer
244	48	talk to sleaze
245	51	examine stump
246	28	look in mouth
247	16	ask for akbar
248	50	put canteen in knapsack
249	51	x hawk
250	30	give paper to girl
251	2	drink coke
252	32	turn newel
253	27	drop glasses
254	3	foo
255	3	raise beam
