0	7	touch
1	1	put brown sphere in pot
2	65	throw silver at white
3	1	take astrolabe
4	36	remove stethoscope
5	63	right
6	22	examine machine
7	1	lobal me
8	38	learn malyon
9	69	give paper to girl
10	38	learn tossio
11	30	tie chain to me
12	44	x light
13	22	examine mouth
14	1	light candle with fire
15	1	ask farmer about oyster
16	40	drop all except radio
17	40	drop telescope
18	54	open chest with needle
19	1	get rose
20	44	x label
21	40	drop flask
22	44	x bones
23	40	drop painting
24	22	x slabs
25	22	x posse
26	63	east
27	1	shout
28	22	x boxes
29	44	examine rolls
30	1	take kitten
31	44	x carvings
32	44	x district attorney
33	26	push button 7
34	22	examine toadstools
35	52	put gear on post
36	55	push coffin w
37	29	read topaz scratch with glass
38	43	drop pump
39	2	eat fruit
40	1	point west
41	1	set third wheel to 8
42	69	give goggles to cheryl
43	69	give paper to professor
44	40	drop diamonds
45	64	jacket
46	19	look into wagon
47	1	get satchel
48	1	gnusto shiny scroll
49	7	touch yellow
50	44	x statue
51	1	get x3, x4, x5, x6
52	1	put new battery in torch
53	64	buy ticket
54	27	douse lamp
55	1	put all in thing
56	22	x fuse
57	52	put kettle on stove
58	29	read sapphire scratch with glass
59	22	x dresser
60	69	give ticket to rimshaw
61	37	push yellow button
62	1	take peanut butter
63	17	open slab
64	1	get rods from sack
65	43	drop flint
66	1	turn on microphone
67	68	open box with tool
68	26	push joystick east
69	22	x door
70	69	give gram to alicia
71	43	drop shiny key
72	1	urbzig toy
73	1	tinsot water
74	37	push newspaper under door
75	1	get padlock
76	55	push pet
77	29	read tag
78	44	x plaque
79	1	take coal
80	5	fold paper
81	1	point at blue carpet
82	44	examine map
83	6	cut branch with knife
84	1	light firework
85	1	take black rod
86	44	x female
87	1	take gold key
88	1	get paintbrush
89	17	open safe
90	26	push boulders
91	37	push bed
92	43	drop crown, stamp, zorkmid and ruby
93	1	get gloves
94	22	x viewscreen
95	44	examine pedestal
96	69	give teddy to woman
97	22	x grenade
98	43	drop clipper
99	29	read of unseen terror
100	15	show green to trent
101	69	give pincer to marvin
102	60	drink potion
103	44	x pile
104	26	push pram e
105	38	read wall
106	68	open floyd
107	43	drop splinter
108	40	drop first brick
109	54	open jewellery box
110	44	x sequence stud
111	1	blow shawm
112	63	northwest
113	39	remove first brick
114	1	ask hermit about exit
115	1	get tweezers
116	69	give book to gnome
117	54	open briefcase
118	22	x carvings
119	37	push red
120	1	tossio golem
121	62	climb scarf
122	36	remove armour
123	22	examine blue statuette
124	39	remove fifth brick
125	43	drop crumpled
126	68	open lid with spade
127	36	remove third brick
128	53	pull cloth
129	39	remove frock
130	56	wear dress
131	26	push newspaper under door
132	1	pulver river
133	40	drop multi
134	37	press blue button
135	1	put string in brick
136	9	pour liquid on torch
137	40	drop all except bread
138	1	get interface
139	1	get broom
140	1	get rug
141	44	x thug
142	40	drop slip
143	1	put torch in case
144	68	open matchbook
145	44	examine barrow
146	1	get puzzle box
147	43	drop bowl
148	24	lick pet
149	1	point to key
150	61	shoot video
151	22	x robot
152	63	roll statue se
153	44	x leaf
154	54	open oven
155	22	examine toaster
156	1	insert red card in slot
157	33	chop ice with axe
158	1	get figurine
159	17	open shield
160	52	put pouch under pipe
161	44	x sheet
162	1	take newspaper
163	23	pour water on plant
164	41	play syrinx
165	54	roll statue nw
166	43	turn dial to 4
167	67	say minirva
168	39	remove gas mask
169	62	dock
170	1	take silver rod
171	1	get sphere
172	1	insert wishbringer in sculpture
173	1	put cereal in pot
174	43	drop finch
175	29	read damp scroll
176	1	get in floor
177	1	get poe
178	15	show book to gnome
179	42	pour water on net
180	1	insert interface in nutrimat
181	65	throw rope north
182	22	x forest
183	43	drop jewelry
184	17	open curtain
185	27	fill bath
186	44	x city
187	17	open pot
188	1	upload image
189	44	examine boots
190	55	push button
191	1	take gothic key
192	4	break padlock with hook
193	1	take dornberries
194	1	take note
195	1	get kappa
196	27	cover trapdoor with bearskin rug
197	22	x forcefield stud
198	22	x coach
199	60	drink beer
200	1	set left dial to 7
201	43	drop label
202	37	push table e
203	17	close torch
204	69	give cereal to hermit
205	22	x computers
206	14	lie down
207	26	push piano south
208	22	examine searchlight
209	22	examine bubble
210	1	get diamond
211	1	put coin in pocket
212	43	turn wheel off
213	17	close receptacle
214	44	x frank
215	15	show blue to trent
216	27	cover opening with blanket
217	43	drop blue paper and yellow paper
218	68	open clam with trident
219	68	open cage
220	37	push statue n
221	30	tie tinsel to coin
222	1	take dusty scroll
223	44	examine lever
224	52	put patch on pipe
