0	40	drop brass key
1	19	listen to wall
2	67	oracle, hello
3	55	push button 3
4	55	push mountain
5	1	get fire
6	54	close cold box
7	43	drop it
8	44	examine cylinder
9	44	examine drill
10	40	drop carpet
11	19	look at shadow
12	69	give cereal to hermit
13	40	drop bar
14	54	open locker
15	63	nw
16	22	x keys
17	37	push button 1
18	22	examine hooks
19	54	close oven
20	68	open historical
21	1	get violet card
22	1	get passbook and room key
23	17	open historical
24	17	open drawer
25	1	get awl
26	1	point it at goats
27	6	pry sixth rib with sword
28	1	get envelope
29	1	light torch
30	44	x ariana
31	43	drop pouch
32	40	drop peridots
33	40	drop dumbells
34	19	look at woods
35	1	get chisel
36	22	examine fireplace
37	1	ozmoo myself
38	54	open locket
39	58	show card to chuckles
40	40	drop chain
41	1	get bread
42	27	fill hat with water
43	1	look up verlac
44	30	lock door with key
45	37	push lever
46	1	get ekmek
47	1	plant weed
48	57	smell dirty floor
49	44	x cutout
50	43	drop whistle
51	43	drop spectacles
52	22	examine parchment
53	1	get mirror
54	19	look at fireplace
55	40	drop hammer
56	52	put flathead on circle
57	1	get safe
58	19	look at paintings
59	29	read ornate scroll
60	22	x fan
61	17	open forge
62	68	open locker
63	68	open shield
64	69	give carton to hacker
65	63	se
66	56	wear dress
67	17	clean skeleton with moss
68	62	enter gazebo
69	69	give manual
70	12	sit in tiny little chair
71	17	open journal
72	39	remove jacket
73	22	x clingfilm
74	58	show $500
75	43	drop splinter
76	40	drop firework
77	1	dig ground
78	56	wear cloak
79	39	remove bit
80	1	get smelly scroll
81	17	open door
82	1	put knife in purse
83	52	put gum on stick
84	44	x papers
85	27	fill bath
86	43	drop fruit
87	55	push knob
88	1	ask k9 about reactor
89	22	x coffee
90	26	push moldy s
91	53	pull quartz
92	69	give case to jenny
93	1	ask george about gumball
94	44	x district attorney
95	29	read old book
96	61	type 0628 on laptop
97	22	x gaping
98	68	open stone door
99	1	light candle with fire
100	1	gnusto liskon
101	29	read crumpled scroll
102	1	stop
103	40	drop nugget
104	22	x desks
105	43	drop pigeon
106	42	pour water in silver chalice
107	1	swordfish
108	55	push ball southwest
109	68	open freezer
110	22	x building
111	1	ask allarah about white
112	26	push joystick west
113	6	cut rope with dagger
114	9	pour water on powder
115	8	feed apple to horse
116	44	x insect
117	2	eat green goo
118	69	give pan to guard
119	55	push piano south
120	19	look in closet
121	22	x lever
122	1	shut up
123	1	put it in opening
124	58	show note to chuckles
125	29	read instructions
126	64	1
127	51	strike rod of fire
128	1	get knife
129	29	read pale scroll
130	1	get arrow
131	54	open air supply system with tool
132	68	open envelope
133	43	drop crayon and pacquet
134	1	gnusto gaspar spell
135	43	drop scroll
136	54	open pacquet of paper
137	44	x flowers
138	1	set center dial to 3
139	14	sit in tiny little chair
140	19	look into cage
141	54	open carton
142	54	open hatch
143	22	examine safe
144	10	unlock cupboard with key
145	43	drop key and brush
146	1	get torn square
147	5	shake branch
148	1	put toner in slot
149	68	open back door
150	54	open buoy
151	22	examine reeds
152	17	open royal-blue box
153	38	read faded
154	54	open secret door
155	1	shoot pod with bazooka
156	22	examine snooker table
157	44	examine rose
158	1	ask alan about novel
159	22	examine bones
160	40	drop finch
161	60	drink tea
162	1	gnusto egdelp
163	40	drop diamonds
164	58	show brick to pig
165	1	insert wishbringer in sculpture
166	17	open brown bottle
167	52	put bronze on left
168	1	click if-archive
169	7	touch mirror
170	40	drop dragon and paper
171	54	open can
172	3	wave hairband
173	1	clap
174	29	learn gondar
175	68	open door with crowbar
176	43	drop antimacassar
177	10	unlock box with screwdriver
178	69	give eggs
179	56	wear amulet
180	31	move moose
181	43	drop radio and pole
182	68	open portrait
183	26	push piano north
184	1	get needle
185	1	put coffin in case
186	38	learn exex
187	1	look up wilhelm in album
188	1	get battery
189	29	read gray scroll
190	1	set compass to crane
191	69	give copy to male
192	1	look up partaim in fresto
193	1	ask male about female
194	54	open dresser
195	1	light candles with match
196	17	open clam with trident
197	22	examine tree
198	1	take bag
199	0	cut growth with cutter
200	22	examine spade
201	1	get gloves and crowbar
202	54	open sack
203	1	gnusto vaxum spell
204	1	get brick
205	1	put ball in machine
206	1	cock crossbow
207	53	pull leaves
208	24	rub flower
209	54	open envelope
210	10	unlock chain with brooch
211	44	examine urchin
212	40	drop all but pager
213	44	x clock
214	22	examine waterfall
215	43	drop dusty brick
216	17	open cell door
217	68	open lid
218	20	talk to gnome about mogglev
219	17	open closet
220	29	learn zifmia
221	44	examine boy
222	26	push button 3
223	32	write 6 on cube
224	1	get stick
225	44	examine crabs
226	26	push pine panel
227	27	fill jug
228	43	move lighted portrait
229	28	knock on door
230	22	examine model
231	54	open car
232	1	put bar in case
233	7	touch orange
234	17	open door with crowbar
235	7	kiss corpse
236	22	examine blue carpet
237	1	get orange vial
238	43	drop bladder
239	1	ask morgan about dragon
240	45	pull flower
241	44	examine splinter
242	15	show book to gnome
243	28	hit bung with mace
244	68	open jeep
245	40	drop all but brain
246	17	open box
247	1	take all but pram
248	53	pull second peg
249	29	read notes
250	17	close valve
251	55	push ball south
252	22	x paper
253	10	unlock cage
254	39	remove hat
255	6	cut branch with knife
256	44	x cupboard
257	1	attack thief with nasty knife
258	40	drop candle
259	37	press brown button
260	64	buy sandwich
261	56	wear shield
262	69	give celery to barb
263	1	get star
264	52	put pouch under pipe
265	13	search fountain
266	17	open bird
267	1	put torch in basket
268	22	examine pigeons
269	56	wear shroud
270	1	put ebony in eastern niche
271	44	examine thumb
272	8	feed pigeon
273	55	push dusty n
274	44	examine silver coin
275	1	k9, shoot door
276	29	learn fiznav
277	51	strike rod of infinity
278	1	take astrolabe
279	38	read history book
280	1	put golden chalice in knapsack
281	1	screw relay into space
282	37	push joystick west
283	1	izyuk myself
284	1	get key
285	22	examine children
286	52	put gum on ass
287	13	search machines
288	23	pour water in silver chalice
289	37	press sequence stud
290	22	examine lemming
291	24	erase line between b and r
292	22	x barrels
293	67	hello
294	54	open jar
295	44	x comb
296	1	get pistol
297	1	get eight of wands
298	37	press red
299	1	get carton
300	1	get cue ball
301	48	follow gnome
302	22	x flue
303	22	x bag
304	68	adventurer, open door
305	13	search ice
306	22	x horse
307	43	drop firework
308	1	put painting in case
309	49	shake pan
310	54	open door
311	28	hit floor with axe
312	40	drop pencil
313	43	drop broom
314	44	examine hole
315	17	close receptacle
316	17	open coffer
317	1	ask governor about key
318	1	put round stone into grating
319	64	buy box
320	44	x creature
321	54	open receptacle
322	1	get pole
323	54	close tray
324	44	x computers
325	1	get volume
326	36	remove new brick with crowbar
327	54	open bird
328	54	open clam with trident
329	44	x card
330	38	read card
331	40	drop it and pliers
332	44	x apparatus
333	45	pull knob
334	1	liskon me
335	29	read newspaper
336	1	put bladder in geyser
337	22	x dispenser
338	1	get coffer
339	40	drop crampons
340	29	learn girgol
341	44	x bulbs
342	22	x dusty brick
343	65	throw it at rabbit
344	1	put gnomon in hole
345	1	light fuse with match
346	1	get out of bunk
347	19	look at shape
348	22	examine cauldron
349	54	open lamp
350	1	get blue sphere
351	54	close cage
352	17	close tray
353	54	open quartz cover
354	37	push button 3
355	1	ask bly about problem
356	1	put egg in pan
357	54	close roof
358	1	blorple 9
359	1	get ruby cluster
360	1	kulcad stairs
361	21	wake homer
362	10	unlock it with gothic key
363	54	close pizza box
364	17	clean dirty floor with moss
365	26	push dispenser button
366	1	look up wilhelm in record
367	68	open matchbox
368	1	get interface
369	40	drop bees
370	27	cover hole 6
371	69	give paper to gnome
372	68	open slot
373	56	wear fish
374	38	learn tinsot
375	63	climb on table
376	15	show mouse to elephant
377	54	open bin
378	40	drop bucket
379	1	get emerald
380	1	put gold in slot
381	1	reach in sculpture
382	68	open brown bottle
383	1	look up cholok in leshosh
384	29	learn lobal
385	63	fore
386	43	drop bowl
387	54	open forge
388	1	get electromagnet
389	1	look up index in history book
390	1	get violin, necklace, ruby, zorkmid, stamp, crown and dragon
391	54	open fridge
392	1	get guano, scroll and amber vial
393	63	mouse, south
394	1	put epic poem in kappa
395	54	open matchbook
396	53	pull branch
397	1	get bomb
398	1	get nasty knife
399	22	examine lights
400	17	open bin
401	26	push button 7
402	1	get dragon and paper
403	40	drop plug
404	1	point to key
405	1	pick lock with sharp pick
406	42	pour fluid in hole
407	2	eat food
408	1	get remote control
409	1	get matches
410	44	x grille
411	13	search garbage
412	1	take capsule
413	68	marvin, open the hatch
414	1	get blue card
415	15	show keys to michael
416	1	put strength in right socket
417	1	get rod of life
418	40	drop axe
419	43	move handle
420	54	open shield
421	1	get leaflet
422	28	knock knock
423	43	drop drill
424	17	fill pot with water
425	1	get string
426	53	pull cloth
427	22	examine dog
428	54	open jeep
429	38	learn bekdab
430	4	smash cabinet
431	1	get file
432	2	eat peanuts
433	1	set radio to 1170
434	1	get net
435	1	get cloak
436	40	drop lump
437	44	examine television
438	44	x barman
439	26	push ass
440	62	enter car
441	37	press med
442	38	learn zifmia
443	22	x invite
