ID	LABEL	TEXT
0	knead-26.5	shake safe
1	body_internal_states-40.6	shazok storm
2	investigate-35.4	x books
3	unknown	take bread from zipper
4	investigate-35.4	x bats
5	unknown	foe
6	give-13.1-1	give torch to gnome
7	investigate-35.4	x dials
8	unknown	get staff
9	unknown	get out of cot
10	investigate-35.4	examine charles
11	unknown	take off dress
12	roll-51.3.1	drop perfume
13	transfer_mesg-37.1.1	show keys to michael
14	put_direction-9.4	drop leaflet
15	hit-18.1-1	knock on window
16	peer-30.3	look inside tube
17	learn-14-1	read garnet scratch with glass
18	put_direction-9.4	drop dragon and paper
19	sight-30.2	examine cauldron
20	banish-10.2	remove brick
21	cut-21.1-1	cut line with axe
22	unknown	put worm in fountain
23	unknown	put mana in bottom socket
24	unknown	gnusto throck
25	unknown	upload image
26	give-13.1-1	give gold locket to creature
27	spatial_configuration-47.6	open front door
28	pour-9.5	pour water on detective
29	unknown	put rods in coffin
30	unknown	cook pork chops
31	unknown	get spindle
32	unknown	swing rope
33	search-35.2	search shelves
34	unknown	put wire in slot
35	murder-42.1-1	kill troll with sword
36	put_direction-9.4	drop brass key
37	unknown	put all in pocket
38	simple_dressing-41.3.1	wear suit
39	sight-30.2	examine barrow
40	unknown	get flash
41	investigate-35.4	x east mural
42	push-12-1-1	press forcefield
43	put_direction-9.4	drop scrawled
44	unknown	put blue in glasses
45	eat-39.1-2	drink liquid
46	sight-30.2	x barkeep
47	unknown	point at blue carpet
48	put_direction-9.4	drop screwdriver
49	unknown	get out of chair
50	give-13.1-1	give novel to alan
51	put_direction-9.4	drop cloth
52	roll-51.3.1	drop rune
53	crane-40.3.2	open manhole with crowbar
54	spatial_configuration-47.6	open vial
55	unknown	point west
56	unknown	get dragon
57	cut-21.1-1	cut clingfilm with knife
58	get-13.5.1	2
59	sight-30.2	x bar
60	funnel-9.3-2-1	push test button
61	roll-51.3.1	drop bird
62	unknown	put sugar in pan
63	fill-9.8	fill teapot
64	carry-11.4-1-1	push right button
65	other_cos-45.4	open safe
66	remove-10.1	remove junk with forklift
67	assuming_position-50	sit in tiny little chair
68	throw-17.1-1-1	throw it
69	fill-9.8	fill bath
70	fill-9.8	fill bowl
71	learn-14-2-1	read ruby scratch with glass
72	transcribe-25.4	record scene
73	learn-14-2-1	read notes
74	other_cos-45.4	close access panel
75	put_direction-9.4	put all down
76	unknown	ask woman about ruby
77	unknown	put fig in urn
78	funnel-9.3-2-1	push purple
79	remove-10.1	remove bandage
80	unknown	put bracelet in case
81	unknown	blow spices at lafond
82	unknown	blorple 9
83	spatial_configuration-47.6	open throttle
84	sight-30.2	x homing
85	unknown	get opal
86	investigate-35.4	x note
87	banish-10.2	remove fifth brick
88	say-37.7-1	say rat to picasso
89	touch-20-1	touch waterfall
90	put_direction-9.4	drop pile
91	roll-51.3.1	drop dumbells
92	fulfilling-13.4.1	show pole to gnome
93	unknown	take green bottle
94	unknown	put pouch in toolkit
95	spatial_configuration-47.6	open trapdoor
96	spatial_configuration-47.6	open towel
97	unknown	get sack
98	unknown	take sack
99	sight-30.2	x vent
100	unknown	get spectacles
101	preparing-26.3-2	pour water on plant
102	unknown	mosaic, lagach
103	scribble-25.2	write 9 on cube
104	eat-39.1-1	eat toadstone
105	unknown	get husbandry
106	unknown	get all from table
107	sight-30.2	examine model
108	unknown	take book
109	put_direction-9.4	drop stand
110	put_spatial-9.2-1	hang bucket on third peg
111	break-45.1	break windows
112	unknown	put invite in copier
113	put_direction-9.4	drop carpet
114	unknown	get teapot
115	unknown	put brick in hole
116	roll-51.3.1	drop chest
117	unknown	put it in thing
118	unknown	turn on torch
119	carry-11.4	pull antenna
120	roll-51.3.1	drop fruit
121	sight-30.2	x attendant
122	unknown	get rusty key
123	search-35.2	search waterfall
124	put-9.1-2	put branch under boulder
125	spatial_configuration-47.6	open catch
126	push-12-1-1	push button 1
127	unknown	arrest bill
128	other_cos-45.4	open zipper
129	unknown	get pickaxe
130	escape-51.1-1	climb down
131	remove-10.1	remove plug
132	disassemble-23.3	unlock hatch with brass key
133	unknown	take hoard
134	unknown	ask woman about roadrunner
135	unknown	get awl
136	escape-51.1-1	enter
137	run-51.3.2	jump onto riser
138	investigate-35.4	x probe
139	unknown	put white rod in pot
140	sight-30.2	x switch
141	investigate-35.4	examine screen
142	roll-51.3.1	drop magnet
143	crane-40.3.2	open navy-blue box
144	unknown	put large plug in large receptacle
145	sight-30.2	examine satellite
146	unknown	put match in toolkit
147	sight-30.2	x figure
148	carry-11.4-1-1	push pram south
149	put_direction-9.4	drop crampons
150	investigate-35.4	x mukhtar
151	unknown	gnusto rezrov spell
152	sight-30.2	x whiteboard
153	unknown	ask angela about affliction
154	unknown	take iron key
155	sight-30.2	x trapdoor
156	unknown	blorple 12
157	carry-11.4	pull tinsel
158	crane-40.3.2	open locker
159	roll-51.3.1	roll statue nw
160	investigate-35.4	x clock
161	roll-51.3.1	drop parchment
162	crane-40.3.2	open catch
163	investigate-35.4	x boat
164	unknown	put homing in hatch
165	unknown	take list
166	crane-40.3.2	open dish washer
167	sight-30.2	x marker
168	unknown	unwrap parcel
169	crane-40.3.2	open pram
170	unknown	ask alan about key
171	crane-40.3.2	open tank
172	sight-30.2	examine porridge oats
173	run-51.3.2	swim
174	sight-30.2	x arrangement
175	roll-51.3.1	drop gloves
176	other_cos-45.4	wake implementor
177	unknown	get coin
178	investigate-35.4	examine compressor
179	give-13.1-1	give food to bear
180	sight-30.2	note tables
181	unknown	put brown sphere in pot
182	other_cos-45.4	open green bottle
183	put_direction-9.4	drop kit
184	spatial_configuration-47.6	open trunk
185	give-13.1-1	give pork to wolf
186	carry-11.4-1-1	push chandelier
187	banish-10.2	remove cap
188	run-51.3.2	slide t
189	substance_emission-43.4	pour liquid on body
190	split-23.2	roll statue sw
191	unknown	upload picture
192	spatial_configuration-47.6	open clam with trident
193	peer-30.3	look in panel
194	spray-9.7-1	hang it on hooks
195	roll-51.3.1	drop flint
196	split-23.2	cut rope with dagger
197	unknown	get diamonds
198	sight-30.2	examine rose
199	sight-30.2	x district attorney
200	sight-30.2	examine plans
201	learn-14-1	read newspaper
202	sight-30.2	x car
203	push-12-1	pull shaft
204	unknown	ask alan about novel
205	unknown	adjust videophone
206	unknown	take clover
207	put_direction-9.4	drop it
208	unknown	take dummy
209	unknown	get caliper
210	roll-51.3.1	drop all cubes
211	unknown	ask wolf about pigs
212	unknown	yomin barker
213	sight-30.2	x it
214	unknown	get whistle
215	carry-11.4	pull hose
216	unknown	cock crossbow
217	unknown	gondar dragon
218	put_direction-9.4	drop dummy
219	learn-14-1	learn throck
220	roll-51.3.1	slide t
221	put_direction-9.4	drop shroud
222	pour-9.5	pour cold porridge in gigantic bowl
223	roll-51.3.1	drop diamonds
224	unknown	get bananas
225	sight-30.2	x fuse
226	throw-17.1-1-1	throw club at herman
227	knead-26.5	squeeze weed killer bottle
228	unknown	take x10
229	sight-30.2	x rock
230	roll-51.3.1	drop booklet
231	substance_emission-43.4	pour milk in cauldron
232	investigate-35.4	examine chasm
233	investigate-35.4	examine cage
234	other_cos-45.4	open lid with spade
235	investigate-35.4	x male
236	carry-11.4	pull torch
237	sight-30.2	x machine
238	unknown	put coin in slot
239	sight-30.2	x hat
240	unknown	take gumball
