ID	LABEL	TEXT
0	0	take spell book from zipper
1	0	jump off equipment
2	0	show ring to michael
3	0	put coins in fur sack
4	0	get balls
5	0	x grille
6	0	pull shaft
7	0	examine wardrobe
8	0	hold rope
9	0	climb can
10	0	press blue
11	0	open lamp
12	0	search couch
13	0	ask what gnome looking for
14	0	climb tree
15	0	search table
16	0	show ledger to magistrate
17	0	take blue
18	0	give form to female
19	0	put towel over drain
20	0	ride bird
21	0	drop wig
22	0	get all from cupboard
23	0	get flint
24	0	play organ
25	0	x tree
26	0	get in machine
27	0	turn projector on
28	0	take vellum scroll
29	0	get coke and carton
30	0	turn neith
31	0	get shimmering scroll
32	0	look in crypt
33	0	northwest
34	0	liskon self
35	0	throw book at outcrop
36	0	examine huge bed
37	0	drill case with drill
38	0	look in coat
39	0	gnusto taclor
40	0	get jar
41	0	climb out of pipe
42	0	drop broom
43	0	get brain
44	0	urbzig snake
45	0	go stump
46	0	rub locket
47	0	lift seat
48	0	open trap door
49	0	give rag to skier
50	0	take sketch
51	0	put sweater on table
52	0	search boots
53	0	give teddy to woman
54	0	give case to harry
55	0	put laudanum on pork
56	0	search workbench
57	0	examine urchin
58	0	give kappa to callimachus
59	0	wear balm
60	0	take packet from pot
61	0	shoot prey
62	0	take balsa beam from northern niche
63	0	point rod of returning at me
64	0	mix pan
65	0	turn off lamp
66	0	give note to man
67	0	get toolkit
68	0	play arcade
69	0	pour water in silver chalice
70	0	take 7
71	0	turn ring
72	0	get rug
73	0	gnusto wigro
74	0	show file to district attorney
75	0	tie rope to timber
76	0	unlock box with key
77	0	give rose to knight
78	0	get cup
79	0	take red flag
80	0	examine flytrap
81	0	search garbage
82	0	drop knife
83	0	ask man about hammer
84	0	read memo
85	0	krebf shredded scroll
86	0	blow whistle
87	0	drop crampons
88	0	cast frotz on amulet
89	0	get zorkmid
90	0	x robot
91	0	take paper
92	0	x powerup stud
93	0	read emerald scratch with glass
94	0	drop flippers
95	0	insert beam in niches
96	0	look in pram
97	0	smash seal
98	0	turn on electricity
99	0	unlock crypt
100	0	echo
101	0	get sharp stone
102	0	open lid
103	0	look through astrolabe
104	0	get carton
105	0	remove gloves
106	0	show $500
107	0	unscrew panel
108	0	examine dial
109	0	zemdor blue box
110	0	drop pile
111	0	look at queenie
112	0	take berries from pot
113	0	put bazooka on claw
114	0	show photograph to charles
115	0	look up wilhelm in album
116	0	put emerald in green boot
117	0	say even
118	0	slide c
119	0	x barman
120	2	turtle, se and get scroll then nw
121	0	take dino
122	0	get arrow
123	0	get paint
124	0	get rod of fire
125	0	take x1, x2, x7, x12
126	0	x stalk
127	0	examine dog
128	0	get rubies
129	0	drop all bricks
130	0	enter shack
131	0	open dish washer
132	0	x hawk
133	0	look at mural
134	0	press powerup
135	0	put white in slot
136	0	turn w
137	0	get wheel
138	0	insert emerald cluster in third hole
139	0	wear suit
140	0	put toy in pot
141	0	open coffin
142	0	upload image
143	0	turn on magnet
144	0	open office door
145	0	ask man about eranti
146	0	ask bum about brother
147	0	x gun
148	0	lobal me
149	0	get chisel
150	0	x murals
151	0	examine card
152	0	get dead mouse
153	0	x well
154	0	get wallet
155	0	put 10 in box
156	0	ask hacker for master key
157	0	put fluff in bag
158	0	x sandstone
159	0	put bread in zipper
160	0	pour coffee in drain
161	0	tie rope to railing
162	0	x device
163	0	read topaz scratch with glass
164	0	put heart in statue
165	0	x ladder
166	0	drop magazine
167	0	show bar to tina
168	0	lower ladder
169	0	put berries in pan
170	0	unplug tv
171	0	examine pedlar
172	0	get hand
173	0	pour water on net
174	0	put coal in furnace
175	0	close receptacle
176	0	frotz lantern
177	0	remove frock
178	0	put chalice in case
179	0	drop stool and bucket
180	0	get blue sphere
181	0	push button 9
182	0	pull cord
183	0	put kettle on stove
184	0	search straw
185	0	x dispenser
186	0	examine arthur
187	0	bathe
188	0	take bread
189	0	ask detective about chelsea
190	0	go under wall
191	0	drop chain
192	0	open wardrobe
193	0	open blue bottle
194	0	get flag
195	0	fish
196	0	take ribbon
197	0	remove third brick
198	0	open furnace
199	0	take oak
200	0	get fluff
201	0	put rods in coffin
202	0	take toad
203	0	examine magpie
204	0	remove balls
205	0	shake branch
206	0	put large key on keyring
207	0	learn huncho
208	0	drop soap
209	0	fly
210	0	get beer
211	0	take handkerchief
212	0	take zipper
213	0	spray repellant on myself
214	0	put card in slot
215	0	hide envelope under bunk
216	0	take amber
217	0	put pouch in toolkit
218	0	get egg
219	0	break door
220	0	get screwdriver
221	0	drink medicine
222	0	get tarot box
223	0	put feather on left
224	0	show earth crystal to trent
225	0	turn nephthys
226	0	hit comb
227	0	ask bum about anna
228	0	press green button
229	0	follow gnome
230	0	put rag in pot
231	0	learn tinsot
232	0	open gate
233	0	turn ring to seventh symbol
234	0	espnis idol
235	0	drop peridots
236	0	jump out window
237	0	get stained scroll
238	0	wear glasses
239	0	take painting
240	0	x shape
241	0	give candy to lizard
242	0	put cave cube in bottom right socket
243	0	open briefcase
244	0	break cabinet
245	0	take flour
246	0	drop it and pliers
247	0	plug in television
248	0	get air tank
249	0	examine rope
250	0	get torn square
251	0	climb idol
252	0	take coin
253	0	look up william on nameplate
254	0	examine ring
255	0	ask allarah about jewel
256	0	frotz bottle
257	0	x probe
258	0	play whistle
259	0	get mug
260	0	examine computer
261	0	wear crampons
262	0	put card in pocket
263	0	thank gnome
264	0	get cube
265	0	insert opal cluster in fourth hole
266	0	drop keys
267	0	open umbrella
268	0	drop flask
269	0	boo
270	0	x sequence stud
271	0	x temple
272	0	drop rubies
273	0	x guard
274	0	x clingfilm
275	0	press 5
276	0	drop pump
277	0	take pigeon
278	0	drop gores
279	0	x cupboard
280	0	turn key
281	0	insert interface in nutrimat
282	0	drop bottle
283	0	unlock door with keys
284	2	cheryl, pull rods
285	0	examine box
286	0	open package
287	0	look up verlac
288	0	take bucket
289	0	read faded
290	0	drop teapot
291	0	examine key
292	0	strike rod of husbandry
293	0	get hat
294	0	take gold coin from right pan
295	0	put rasp into thing
296	0	put coin in loans
297	0	eat bread
298	0	take headdress
299	0	examine vegetable plot
300	0	roll statue se
301	0	turn on space heater
302	0	drop leaflet
303	0	look up mordecai in record
304	0	drop portrait and bills
305	0	put ebony in southern niche
306	0	shoot video
307	0	turn wheel right
308	0	dig ground with axe
309	0	eat green goo
310	0	put pan in water
311	0	ask george about dehlila
312	0	drop pouch
313	0	wedge doors with axe
314	0	open satchel
315	0	show egg to adventurer then east
316	0	wear armour
317	0	get medicine bottle
318	0	wear cap
319	0	search snow
